feature,importance
TotalStopTime,0.4846453438751694
LoadTravelTime,0.19962593933026052
EmptyTravelTime,0.06661779801518285
FuelBurned,0.0645677861365784
Payload,0.04700033958841172
LoadTime,0.031744477948044816
Hour_2,0.025654868576722757
LoadTravelDistance,0.020275897926395586
Hour_5,0.015437749612685707
Hour_17,0.011910503419046158
Hour_8,0.011643170035301284
EmptyTravelDistance,0.008141722016568482
DistanceTravelled,0.007479530530360121
Hour_21,0.002475987410066774
Shift_Night,0.0016733926580694395
