feature,importance
TotalStopTime,0.8753433350651161
LoadTravelTime,0.033657331938521086
EmptyTravelTime,0.017199976409485365
FuelBurned,0.013659393551907737
LoadTime,0.013613289061437089
Payload,0.011247630623394848
LoadTravelDistance,0.008001864493050754
DistanceTravelled,0.005206119193696763
EmptyTravelDistance,0.005023446145934171
Hour_2,0.004188501657749034
Hour_5,0.0025376760703116168
Hour_17,0.0022460774194230097
Hour_21,0.0011733032179682794
Hour_3,0.001084991374078708
Hour_11,0.0007617476909752217
