feature,importance
TotalStopTime,0.8792151384601188
LoadTravelTime,0.048298847145067526
FuelBurned,0.01886668643591388
EmptyTravelTime,0.013147868926152302
Hour_2,0.012788397674030998
LoadTime,0.008881998906885452
LoadTravelDistance,0.005018497937985003
Payload,0.004902673407137522
DistanceTravelled,0.001990303168287746
Hour_5,0.0018567955755781215
Hour_17,0.0017346703503122547
EmptyTravelDistance,0.0017055343428648293
Hour_12,0.0008194935721457349
Shift_Night,0.0004828625925803761
Hour_21,0.00018542731810198288
